ds,Inventory Code,y
1/7/2022,1030,2964
1/7/2022,1031,904.8
1/7/2022,1032,1731.6
1/7/2022,1033,1513.2
1/7/2022,1034,1014
1/7/2022,1035,826.8
1/7/2022,1036,1185.6
1/7/2022,1037,1294.8
1/7/2022,1126,152.1
1/7/2022,1142,213.2
1/7/2022,1151,325
1/7/2022,1157,62.4
1/7/2022,1158,161.2
1/7/2022,1162,748.8
1/7/2022,1173,154.7
1/7/2022,1331,2995.2
1/7/2022,1332,2787.2
1/7/2022,1333,1071.2
2/7/2022,1030,62.4
2/7/2022,1033,83.2
2/7/2022,1034,31.2
2/7/2022,1036,46.8
2/7/2022,1037,78
2/7/2022,1126,45.5
2/7/2022,1142,201.5
2/7/2022,1151,175.5
2/7/2022,1157,148.2
2/7/2022,1158,1532.7
2/7/2022,1162,156
2/7/2022,1173,136.5
2/7/2022,1331,52
2/7/2022,1332,41.6
2/7/2022,1333,20.8
4/7/2022,1030,2246.4
4/7/2022,1031,795.6
4/7/2022,1032,1388.4
4/7/2022,1033,1185.6
4/7/2022,1034,795.6
4/7/2022,1035,514.8
4/7/2022,1036,936
4/7/2022,1037,889.2
4/7/2022,1126,148.2
4/7/2022,1142,81.9
4/7/2022,1151,473.2
4/7/2022,1157,191.1
4/7/2022,1158,691.6
4/7/2022,1162,327.6
4/7/2022,1173,128.7
4/7/2022,1331,3764.8
4/7/2022,1332,3504.8
4/7/2022,1333,1372.8
5/7/2022,1030,639.6
5/7/2022,1031,733.2
5/7/2022,1032,468
5/7/2022,1033,967.2
5/7/2022,1034,436.8
5/7/2022,1035,468
5/7/2022,1036,249.6
5/7/2022,1126,133.9
5/7/2022,1142,340.6
5/7/2022,1151,152.1
5/7/2022,1157,140.4
5/7/2022,1158,260
5/7/2022,1162,93.6
5/7/2022,1173,214.5
5/7/2022,1331,3723.2
5/7/2022,1332,3733.6
5/7/2022,1333,1196
6/7/2022,1030,2808
6/7/2022,1031,1326
6/7/2022,1032,1669.2
6/7/2022,1033,1606.8
